,Part,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71
31,root,0,0,0,91.1738,0,2.7928,0,0,0,1035.171,817.198,29.4049,0,0,0,0,0,0,0,0,0,336.9678,38.7483,40.0291,0,2.4172,116.2764,98.9209,0,494.6576,28.5856,640.8584,298.9019,286.3562,127.7864,0,0,231.748,63.2061,98.3774,46.1039,0,16.1312,43.7941,0,143.9456,237.4317,32.3864,0,0,6.2783,0,0.0821,4.2811,0,0,0.1996,0,0,11.0095,2.3282,0.4777,2.0037,7.6207,3.3367,0,0,1.3736,0,0,0
32,root,25.4521,0,0,93.1441,0,1.7341,0,25.2178,9.3561,1130.0643,713.5942,17.9303,0,0,0,13.9116,0,0,0,0,0,294.9219,32.1838,37.4871,0,3.1612,91.3158,61.6039,0,814.3424,5.3024,434.7483,272.1752,527.0886,125.7687,0,0,505.3988,0,65.6578,30.3274,0,19.6619,26.1914,0,326.9218,159.1305,21.4868,0,0,10.8024,4.0968,4.0504,90.5446,0,0,5.2436,0,16.1371,30.7385,0,7.9859,24.2519,106.0856,9.2712,0,0,7.9076,0,0,0
33,root,0,0,0,88.1325,0,1.5426,0,0,0,1056.3818,469.1055,59.2421,0,0,0,0.1187,0,0,0,0,0,382.3922,0,42.8057,0,2.4773,29.8309,0,0,607.2499,0,802.7711,308.7897,377.8198,0,0,0,365.7905,0,169.1237,71.1993,0,24.9524,74.4922,0,184.7338,294.7797,37.7077,0,0,15.9548,0,0,4.751,0,0,0.0124,0,0,11.9406,3.103,1.3718,2.1201,16.4538,4.3586,0,0,1.4839,0,0,0
34,root,11.7754,0,0,151.0334,0,4.5272,0,12.0164,0.3786,1240.5132,555.7397,14.5612,0,0,0,9.0672,0,0,0,0,0,394.551,0.0227,43.8866,0,3.2252,21.8296,0,0,962.0266,0,460.3842,395.0241,555.132,0,0,0,591.9883,125.226,82.6576,29.9301,0,19.3972,25.9767,0,317.508,124.5432,0,0,0,8.5161,0,0,83.9833,0,0,0,0,13.8515,26.8908,0,25.4828,16.858,91.9582,7.8628,0,0,6.7705,0,0,0
35,root,0,0,0,84.846,0,2.6116,0,0,0,822.0493,889.1251,39.1358,0,0,0,1.5841,0,0,0,0,0,277.9059,16.7068,32.1983,0,3.1432,156.1643,37.7496,0,576.9851,10.6838,638.0108,273.8443,385.6546,52.8962,0,0,392.3956,97.6886,161.1195,64.0081,0,21.3366,67.9799,3.2457,178.6906,229.6754,0,0,0,11.9101,0,0,6.1822,0,0,0.0579,0,0,15.4316,3.2711,2.4089,2.8881,13.7614,4.2629,0,0,1.2087,0,0,0
36,root,13.0444,0,0,70.6712,0,6.7997,0,14.3715,0.0805,575.0312,441.0834,0,0,0,0,10.2949,0,0,0,0,0,181.9256,134.2538,18.3296,0,3.3071,64.0842,270.2993,0,829.9528,18.277,369.8339,296.9861,437.6328,389.235,0,0,316.4349,0,24.4874,14.5371,19.2185,16.3578,0,0,285.2908,81.3491,8.1614,0,0,3.3347,65.3758,33.3662,195.5888,0,0,31.6633,0,23.0277,46.0891,9.5739,35.6738,28.4919,155.2232,11.2412,0,0,6.8036,0,0,0
37,root,21.8547,0,0,74.7418,0,2.4319,0,12.9571,13.0585,710.4439,943.5448,16.0234,0,0,0,20.2498,0,0,0,0,0,292.6686,0,32.348,0,3.0276,168.5693,0,0,849.2454,0,468.351,383.3923,573.9895,0,0,0,602.6318,135.3187,86.5623,36.6996,0,19.2993,24.6984,0,268.6951,107.7094,0,0,0,10.8145,0,0,62.1039,0,0,0,0,14.7269,28.5978,0,31.756,16.1631,120.1332,8.9047,0,0,8.708,0,0,0
38,root,30.6314,0,0,85.7945,0,1.0635,0,37.6642,17.5417,916.1768,842.0373,10.0398,0,0,0,12.1958,0,0,0,0,0,280.457,75.6119,27.8682,0,0.7662,142.0771,205.3599,0,634.7051,21.0559,309.8319,285.5165,417.6157,312.1709,0,0,303.2909,0,32.2256,18.4259,5.8529,14.4946,1.0589,0,306.0707,125.2453,11.8213,0,0,4.3638,18.7747,25.1799,78.7162,0,0,24.881,0,17.6339,23.2034,0,6.4374,20.5498,105.2868,9.8469,0,0,7.4606,0,0,0
39,root,25.5599,0,0,78.8345,0,2.4619,0,32.5082,13.237,885.2639,907.8622,13.0767,0,0,0,15.7482,0,0,0,0,0,297.604,0,31.6794,0,2.9384,154.1419,0.004,0,727.2761,0,322.2197,228.0636,600.8253,0,0,0,628.7453,150.0904,73.7205,31.4287,0,20.141,30.9173,0,377.6566,153.2323,15.7849,0,0,15.377,0,0,165.7061,0,0,0,0,48.7953,24.5168,6.1698,109.1536,41.7864,120.3574,17.2844,0,0,11.6632,0,0,0
40,root,0,0,0,88.9551,0,11.1904,0,0,0,853.2786,870.3929,35.1057,0,0,0,0.1039,0,0,0,0,0,296.0136,86.3581,33.4973,0,2.3687,134.8047,173.2481,0,495.9872,40.6975,551.4576,304.6883,288.3115,226.7817,0,0,188.0989,55.9488,56.9232,31.0789,0,15.2259,23.6754,0,175.9639,186.3576,33.2197,0,0,3.8714,2.8084,2.5256,10.2669,0,0,1.9397,0,2.8137,10.6877,0,1.8899,5.4366,13.1364,4.3216,0,0,0.0568,0,0,0
